---,HP,Damage,ATK_Cool,MoveSpeed,DropEXP,Point
1,50,4,2,150,4,20
2,50,5,2,150,4,22
3,50,6,2,150,4,24
4,50,9,2,150,5,30
5,50,10,2,150,6,32
6,50,17,2,150,11,50
7,50,18,2,152,13,53
8,50,19,2,154,15,56
9,50,20,2,156,17,59
10,50,21,2,158,19,62
11,50,22,2,160,21,66
12,50,23,2,162,24,70
13,50,24,2,164,27,74
14,50,25,2,166,30,78
15,50,26,2,168,33,82
16,50,27,2,170,37,87
17,50,28,2,172,41,92
18,50,29,2,174,46,97
19,50,30,2,176,51,102
20,50,31,2,178,57,108
21,50,32,2,180,63,114
22,50,33,2,182,70,120
23,50,34,2,184,77,126
24,50,36,2,186,85,133
25,200,38,2,188,94,140
26,200,40,2,190,104,147
27,200,42,2,192,115,155
28,200,44,2,194,127,163
29,200,46,2,196,140,172
30,200,48,2,198,154,181
31,200,50,2,200,170,191
32,200,52,2,202,187,201
33,200,54,2,205,206,212
34,200,56,2,208,227,223
35,200,58,2,211,250,235
36,200,60,2,214,275,247
37,200,62,2,217,303,260
38,200,64,2,220,334,273
39,200,66,2,223,368,287
40,200,68,2,226,405,302
41,200,71,2,229,446,318
42,200,74,2,232,491,334
43,200,77,2,235,541,351
44,200,80,2,238,596,369
45,200,83,2,241,656,388
46,200,86,2,244,722,408
47,200,89,2,247,795,429
48,200,92,2,250,875,451
49,200,95,2,253,963,474
50,800,98,2,256,1060,498
